"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"25bps","139bps",25,"Apr 29, 2025, 12:01:00 AM",139
"24bps","125bps",24,"Apr 29, 2025, 12:48:56 AM",125
"18bps","137bps",18,"Apr 29, 2025, 1:36:52 AM",137
"22bps","132bps",22,"Apr 29, 2025, 2:24:48 AM",132
"19bps","141bps",19,"Apr 29, 2025, 3:12:44 AM",141
"22bps","137bps",22,"Apr 29, 2025, 4:00:40 AM",137
"20bps","126bps",20,"Apr 29, 2025, 4:48:36 AM",126
"18bps","141bps",18,"Apr 29, 2025, 5:36:32 AM",141
"12bps","122bps",12,"Apr 29, 2025, 6:24:28 AM",122
"16bps","136bps",16,"Apr 29, 2025, 7:12:24 AM",136
"17bps","144bps",17,"Apr 29, 2025, 8:00:20 AM",144
"13bps","123bps",13,"Apr 29, 2025, 8:48:16 AM",123
"14bps","142bps",14,"Apr 29, 2025, 9:36:12 AM",142
"86.14kbps","3.45Mbps",86145,"Apr 29, 2025, 10:24:08 AM",3448196
"128.9kbps","5.11Mbps",128903,"Apr 29, 2025, 11:12:04 AM",5113175
"63.68kbps","2.6Mbps",63682,"Apr 29, 2025, 12:00:00 PM",2604724
"97.16kbps","3.82Mbps",97157,"Apr 29, 2025, 12:47:56 PM",3824616
"67.67kbps","2.24Mbps",67673,"Apr 29, 2025, 1:35:52 PM",2238445
"62.12kbps","2.03Mbps",62121,"Apr 29, 2025, 2:23:48 PM",2031995
"43.86kbps","1.39Mbps",43859,"Apr 29, 2025, 3:11:44 PM",1392250
"56.48kbps","1.82Mbps",56479,"Apr 29, 2025, 3:59:40 PM",1817227
"64.09kbps","2.08Mbps",64086,"Apr 29, 2025, 4:47:36 PM",2081418
"83.04kbps","2.83Mbps",83042,"Apr 29, 2025, 5:35:32 PM",2828111
"85.77kbps","2.99Mbps",85774,"Apr 29, 2025, 6:23:28 PM",2987885
"107.02kbps","4.4Mbps",107018,"Apr 29, 2025, 7:11:24 PM",4403039
"107.25kbps","4.81Mbps",107254,"Apr 29, 2025, 7:59:20 PM",4810207
"16bps","38bps",16,"Apr 29, 2025, 8:47:16 PM",38
"12bps","44bps",12,"Apr 29, 2025, 9:35:12 PM",44
"21bps","43bps",21,"Apr 29, 2025, 10:23:08 PM",43
"15bps","44bps",15,"Apr 29, 2025, 11:11:04 PM",44
"14bps","38bps",14,"Apr 29, 2025, 11:59:00 PM",38
