"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"13bps","144bps",13,"Apr 28, 2025, 12:01:00 AM",144
"23bps","125bps",23,"Apr 28, 2025, 12:48:56 AM",125
"22bps","135bps",22,"Apr 28, 2025, 1:36:52 AM",135
"26bps","137bps",26,"Apr 28, 2025, 2:24:48 AM",137
"14bps","136bps",14,"Apr 28, 2025, 3:12:44 AM",136
"22bps","144bps",22,"Apr 28, 2025, 4:00:40 AM",144
"21bps","123bps",21,"Apr 28, 2025, 4:48:36 AM",123
"19bps","136bps",19,"Apr 28, 2025, 5:36:32 AM",136
"22bps","131bps",22,"Apr 28, 2025, 6:24:28 AM",131
"20bps","138bps",20,"Apr 28, 2025, 7:12:24 AM",138
"16bps","136bps",16,"Apr 28, 2025, 8:00:20 AM",136
"17bps","129bps",17,"Apr 28, 2025, 8:48:16 AM",129
"18bps","141bps",18,"Apr 28, 2025, 9:36:12 AM",141
"142.22kbps","1.99Mbps",142223,"Apr 28, 2025, 10:24:08 AM",1985789
"22.52kbps","937.5kbps",22517,"Apr 28, 2025, 11:12:04 AM",937505
"105.76kbps","4.38Mbps",105759,"Apr 28, 2025, 12:00:00 PM",4375028
"50.96kbps","2.09Mbps",50958,"Apr 28, 2025, 12:47:56 PM",2090877
"116.75kbps","5.01Mbps",116750,"Apr 28, 2025, 1:35:52 PM",5014765
"97.57kbps","4.08Mbps",97569,"Apr 28, 2025, 2:23:48 PM",4083762
"115.77kbps","4.92Mbps",115766,"Apr 28, 2025, 3:11:44 PM",4923240
"178.77kbps","7.59Mbps",178767,"Apr 28, 2025, 3:59:40 PM",7591376
"214.21kbps","9.53Mbps",214211,"Apr 28, 2025, 4:47:36 PM",9528249
"99.69kbps","4.38Mbps",99691,"Apr 28, 2025, 5:35:32 PM",4383183
"26bps","134bps",26,"Apr 28, 2025, 6:23:28 PM",134
"19bps","136bps",19,"Apr 28, 2025, 7:11:24 PM",136
"18bps","135bps",18,"Apr 28, 2025, 7:59:20 PM",135
"12.29kbps","448.35kbps",12288,"Apr 28, 2025, 8:47:16 PM",448351
"128.68kbps","4.94Mbps",128682,"Apr 28, 2025, 9:35:12 PM",4938368
"153.03kbps","6.45Mbps",153027,"Apr 28, 2025, 10:23:08 PM",6445347
"16bps","155bps",16,"Apr 28, 2025, 11:11:04 PM",155
"27bps","137bps",27,"Apr 28, 2025, 11:59:00 PM",137
