"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"14bps","41bps",14,"Apr 30, 2025, 12:01:00 AM",41
"11bps","40bps",11,"Apr 30, 2025, 12:48:56 AM",40
"10bps","44bps",10,"Apr 30, 2025, 1:36:52 AM",44
"11bps","38bps",11,"Apr 30, 2025, 2:24:48 AM",38
"10bps","38bps",10,"Apr 30, 2025, 3:12:44 AM",38
"13bps","45bps",13,"Apr 30, 2025, 4:00:40 AM",45
"13bps","40bps",13,"Apr 30, 2025, 4:48:36 AM",40
"13bps","45bps",13,"Apr 30, 2025, 5:36:32 AM",45
"12bps","38bps",12,"Apr 30, 2025, 6:24:28 AM",38
"9bps","37bps",9,"Apr 30, 2025, 7:12:24 AM",37
"10bps","44bps",10,"Apr 30, 2025, 8:00:20 AM",44
"7bps","38bps",7,"Apr 30, 2025, 8:48:16 AM",38
"11bps","38bps",11,"Apr 30, 2025, 9:36:12 AM",38
"4.49kbps","183.12kbps",4491,"Apr 30, 2025, 10:24:08 AM",183123
"2.05Mbps","3.13Mbps",2051344,"Apr 30, 2025, 11:12:04 AM",3134379
"173.82kbps","8.2Mbps",173816,"Apr 30, 2025, 12:00:00 PM",8195620
"16bps","39bps",16,"Apr 30, 2025, 12:47:56 PM",39
"16bps","41bps",16,"Apr 30, 2025, 1:35:52 PM",41
"8bps","43bps",8,"Apr 30, 2025, 2:23:48 PM",43
"11bps","38bps",11,"Apr 30, 2025, 3:11:44 PM",38
"90.68kbps","4.32Mbps",90684,"Apr 30, 2025, 3:59:40 PM",4322670
"250.78kbps","12.36Mbps",250775,"Apr 30, 2025, 4:47:36 PM",12362851
"259.26kbps","12.9Mbps",259260,"Apr 30, 2025, 5:35:32 PM",12902373
"327kbps","16.4Mbps",326996,"Apr 30, 2025, 6:23:28 PM",16395288
"368.83kbps","17.65Mbps",368826,"Apr 30, 2025, 7:11:24 PM",17652037
"140.96kbps","6.48Mbps",140955,"Apr 30, 2025, 7:59:20 PM",6482487
"187.35kbps","8.04Mbps",187353,"Apr 30, 2025, 8:47:16 PM",8035645
"188.59kbps","8.09Mbps",188595,"Apr 30, 2025, 9:35:12 PM",8089606
"167.18kbps","6.97Mbps",167180,"Apr 30, 2025, 10:23:08 PM",6969048
"281.44kbps","12.47Mbps",281444,"Apr 30, 2025, 11:11:04 PM",12473771
"94.5kbps","4.29Mbps",94499,"Apr 30, 2025, 11:59:00 PM",4287943
