"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"24bps","140bps",24,"Apr 29, 2025, 12:01:00 AM",140
"23bps","130bps",23,"Apr 29, 2025, 12:48:56 AM",130
"25bps","141bps",25,"Apr 29, 2025, 1:36:52 AM",141
"19bps","133bps",19,"Apr 29, 2025, 2:24:48 AM",133
"24bps","145bps",24,"Apr 29, 2025, 3:12:44 AM",145
"24bps","138bps",24,"Apr 29, 2025, 4:00:40 AM",138
"16bps","124bps",16,"Apr 29, 2025, 4:48:36 AM",124
"19bps","143bps",19,"Apr 29, 2025, 5:36:32 AM",143
"17bps","126bps",17,"Apr 29, 2025, 6:24:28 AM",126
"16bps","138bps",16,"Apr 29, 2025, 7:12:24 AM",138
"20bps","147bps",20,"Apr 29, 2025, 8:00:20 AM",147
"16bps","124bps",16,"Apr 29, 2025, 8:48:16 AM",124
"17bps","144bps",17,"Apr 29, 2025, 9:36:12 AM",144
"7.04Mbps","188.02kbps",7040521,"Apr 29, 2025, 10:24:08 AM",188017
"9.2Mbps","239.57kbps",9195948,"Apr 29, 2025, 11:12:04 AM",239566
"5.91Mbps","146.26kbps",5908160,"Apr 29, 2025, 12:00:00 PM",146256
"9.57Mbps","245.11kbps",9574638,"Apr 29, 2025, 12:47:56 PM",245114
"7.67Mbps","201.13kbps",7667200,"Apr 29, 2025, 1:35:52 PM",201126
"6.27Mbps","162.63kbps",6266143,"Apr 29, 2025, 2:23:48 PM",162626
"8.21Mbps","218.63kbps",8214879,"Apr 29, 2025, 3:11:44 PM",218631
"10.03Mbps","267.63kbps",10032247,"Apr 29, 2025, 3:59:40 PM",267626
"7.49Mbps","198.64kbps",7493185,"Apr 29, 2025, 4:47:36 PM",198637
"2.83Mbps","83.07kbps",2828087,"Apr 29, 2025, 5:35:32 PM",83066
"2.99Mbps","85.8kbps",2987869,"Apr 29, 2025, 6:23:28 PM",85799
"8.25Mbps","195.91kbps",8249860,"Apr 29, 2025, 7:11:24 PM",195913
"6.63Mbps","149.16kbps",6632520,"Apr 29, 2025, 7:59:20 PM",149158
"12bps","38bps",12,"Apr 29, 2025, 8:47:16 PM",38
"24bps","49bps",24,"Apr 29, 2025, 9:35:12 PM",49
"23bps","38bps",23,"Apr 29, 2025, 10:23:08 PM",38
"20bps","49bps",20,"Apr 29, 2025, 11:11:04 PM",49
"15bps","38bps",15,"Apr 29, 2025, 11:59:00 PM",38
