"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"","",,"Apr 26, 2025, 12:01:00 AM",
"","",,"Apr 26, 2025, 12:48:56 AM",
"","",,"Apr 26, 2025, 1:36:52 AM",
"","",,"Apr 26, 2025, 2:24:48 AM",
"","",,"Apr 26, 2025, 3:12:44 AM",
"","",,"Apr 26, 2025, 4:00:40 AM",
"","",,"Apr 26, 2025, 4:48:36 AM",
"","",,"Apr 26, 2025, 5:36:32 AM",
"","",,"Apr 26, 2025, 6:24:28 AM",
"","",,"Apr 26, 2025, 7:12:24 AM",
"","",,"Apr 26, 2025, 8:00:20 AM",
"","",,"Apr 26, 2025, 8:48:16 AM",
"","",,"Apr 26, 2025, 9:36:12 AM",
"","",,"Apr 26, 2025, 10:24:08 AM",
"467.55kbps","10.45kbps",467548,"Apr 26, 2025, 11:12:04 AM",10453
"655.22kbps","15.51kbps",655224,"Apr 26, 2025, 12:00:00 PM",15507
"408.97kbps","11.16kbps",408968,"Apr 26, 2025, 12:47:56 PM",11161
"1.7Mbps","45.47kbps",1701076,"Apr 26, 2025, 1:35:52 PM",45473
"528.3kbps","13.74kbps",528302,"Apr 26, 2025, 2:23:48 PM",13739
"19bps","109bps",19,"Apr 26, 2025, 3:11:44 PM",109
"22bps","100bps",22,"Apr 26, 2025, 3:59:40 PM",100
"20bps","104bps",20,"Apr 26, 2025, 4:47:36 PM",104
"21bps","109bps",21,"Apr 26, 2025, 5:35:32 PM",109
"19bps","99bps",19,"Apr 26, 2025, 6:23:28 PM",99
"20bps","106bps",20,"Apr 26, 2025, 7:11:24 PM",106
"25bps","104bps",25,"Apr 26, 2025, 7:59:20 PM",104
"22bps","103bps",22,"Apr 26, 2025, 8:47:16 PM",103
"9bps","36bps",9,"Apr 26, 2025, 9:35:12 PM",36
"3bps","6bps",3,"Apr 26, 2025, 10:23:08 PM",6
"20bps","100bps",20,"Apr 26, 2025, 11:11:04 PM",100
"20bps","98bps",20,"Apr 26, 2025, 11:59:00 PM",98
