"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"","",,"Apr 27, 2025, 12:01:00 AM",
"","",,"Apr 27, 2025, 12:48:56 AM",
"","",,"Apr 27, 2025, 1:36:52 AM",
"","",,"Apr 27, 2025, 2:24:48 AM",
"","",,"Apr 27, 2025, 3:12:44 AM",
"","",,"Apr 27, 2025, 4:00:40 AM",
"","",,"Apr 27, 2025, 4:48:36 AM",
"","",,"Apr 27, 2025, 5:36:32 AM",
"","",,"Apr 27, 2025, 6:24:28 AM",
"","",,"Apr 27, 2025, 7:12:24 AM",
"","",,"Apr 27, 2025, 8:00:20 AM",
"","",,"Apr 27, 2025, 8:48:16 AM",
"","",,"Apr 27, 2025, 9:36:12 AM",
"","",,"Apr 27, 2025, 10:24:08 AM",
"4.71kbps","217.16kbps",4713,"Apr 27, 2025, 11:12:04 AM",217158
"18.74kbps","853.22kbps",18736,"Apr 27, 2025, 12:00:00 PM",853220
"1.55kbps","66.11kbps",1550,"Apr 27, 2025, 12:47:56 PM",66113
"3.14kbps","118.44kbps",3137,"Apr 27, 2025, 1:35:52 PM",118435
"17.3kbps","661.1kbps",17295,"Apr 27, 2025, 2:23:48 PM",661099
"15.11kbps","515.11kbps",15105,"Apr 27, 2025, 3:11:44 PM",515107
"60.9kbps","2.63Mbps",60898,"Apr 27, 2025, 3:59:40 PM",2626713
"153.78kbps","6.57Mbps",153784,"Apr 27, 2025, 4:47:36 PM",6571202
"48.76kbps","1.92Mbps",48761,"Apr 27, 2025, 5:35:32 PM",1924729
"11bps","98bps",11,"Apr 27, 2025, 6:23:28 PM",98
"24bps","132bps",24,"Apr 27, 2025, 7:11:24 PM",132
"15bps","46bps",15,"Apr 27, 2025, 7:59:20 PM",46
"49.83kbps","2.13Mbps",49830,"Apr 27, 2025, 8:47:16 PM",2134857
"88.11kbps","3.75Mbps",88108,"Apr 27, 2025, 9:35:12 PM",3745051
"52.12kbps","2.15Mbps",52116,"Apr 27, 2025, 10:23:08 PM",2146864
"21bps","138bps",21,"Apr 27, 2025, 11:11:04 PM",138
"24bps","142bps",24,"Apr 27, 2025, 11:59:00 PM",142
