"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"19bps","134bps",19,"Apr 29, 2025, 12:01:00 AM",134
"24bps","127bps",24,"Apr 29, 2025, 12:48:56 AM",127
"23bps","142bps",23,"Apr 29, 2025, 1:36:52 AM",142
"18bps","131bps",18,"Apr 29, 2025, 2:24:48 AM",131
"23bps","142bps",23,"Apr 29, 2025, 3:12:44 AM",142
"19bps","131bps",19,"Apr 29, 2025, 4:00:40 AM",131
"17bps","123bps",17,"Apr 29, 2025, 4:48:36 AM",123
"19bps","140bps",19,"Apr 29, 2025, 5:36:32 AM",140
"18bps","129bps",18,"Apr 29, 2025, 6:24:28 AM",129
"18bps","136bps",18,"Apr 29, 2025, 7:12:24 AM",136
"20bps","144bps",20,"Apr 29, 2025, 8:00:20 AM",144
"17bps","117bps",17,"Apr 29, 2025, 8:48:16 AM",117
"22bps","142bps",22,"Apr 29, 2025, 9:36:12 AM",142
"73.78kbps","2.74Mbps",73785,"Apr 29, 2025, 10:24:08 AM",2741721
"110.56kbps","4.08Mbps",110564,"Apr 29, 2025, 11:12:04 AM",4083025
"52.79kbps","2.06Mbps",52791,"Apr 29, 2025, 12:00:00 PM",2057944
"94.82kbps","3.7Mbps",94819,"Apr 29, 2025, 12:47:56 PM",3704475
"108.87kbps","4.45Mbps",108874,"Apr 29, 2025, 1:35:52 PM",4445161
"100.4kbps","4.1Mbps",100399,"Apr 29, 2025, 2:23:48 PM",4103945
"76.78kbps","3Mbps",76780,"Apr 29, 2025, 3:11:44 PM",3000101
"93.35kbps","3.66Mbps",93348,"Apr 29, 2025, 3:59:40 PM",3662328
"98.73kbps","4.02Mbps",98726,"Apr 29, 2025, 4:47:36 PM",4022673
"21bps","46bps",21,"Apr 29, 2025, 5:35:32 PM",46
"16bps","39bps",16,"Apr 29, 2025, 6:23:28 PM",39
"83.55kbps","3.6Mbps",83550,"Apr 29, 2025, 7:11:24 PM",3604514
"41.89kbps","1.82Mbps",41887,"Apr 29, 2025, 7:59:20 PM",1822376
"14bps","38bps",14,"Apr 29, 2025, 8:47:16 PM",38
"16bps","44bps",16,"Apr 29, 2025, 9:35:12 PM",44
"19bps","43bps",19,"Apr 29, 2025, 10:23:08 PM",43
"14bps","44bps",14,"Apr 29, 2025, 11:11:04 PM",44
"14bps","38bps",14,"Apr 29, 2025, 11:59:00 PM",38
