"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"9.86Mbps","247.24kbps",9856590,"May 1, 2025, 12:01:00 AM",247237
"3.49Mbps","99.77kbps",3491719,"May 1, 2025, 12:48:56 AM",99766
"576.66kbps","17.01kbps",576657,"May 1, 2025, 1:36:52 AM",17010
"20bps","42bps",20,"May 1, 2025, 2:24:48 AM",42
"21bps","44bps",21,"May 1, 2025, 3:12:44 AM",44
"18bps","43bps",18,"May 1, 2025, 4:00:40 AM",43
"19bps","44bps",19,"May 1, 2025, 4:48:36 AM",44
"8bps","38bps",8,"May 1, 2025, 5:36:32 AM",38
"9bps","39bps",9,"May 1, 2025, 6:24:28 AM",39
"12bps","44bps",12,"May 1, 2025, 7:12:24 AM",44
"15bps","38bps",15,"May 1, 2025, 8:00:20 AM",38
"17bps","38bps",17,"May 1, 2025, 8:48:16 AM",38
"13bps","44bps",13,"May 1, 2025, 9:36:12 AM",44
"6bps","38bps",6,"May 1, 2025, 10:24:08 AM",38
"2.68Mbps","62.69kbps",2684162,"May 1, 2025, 11:12:04 AM",62688
"13.37Mbps","297.3kbps",13373589,"May 1, 2025, 12:00:00 PM",297299
"30.42kbps","740bps",30424,"May 1, 2025, 12:47:56 PM",740
"67bps","54bps",67,"May 1, 2025, 1:35:52 PM",54
"215.62kbps","648bps",215622,"May 1, 2025, 2:23:48 PM",648
"1.3Mbps","808bps",1296557,"May 1, 2025, 3:11:44 PM",808
"2.56Mbps","1.16kbps",2555358,"May 1, 2025, 3:59:40 PM",1162
"853.56kbps","1.42kbps",853564,"May 1, 2025, 4:47:36 PM",1420
"7.24Mbps","1.62kbps",7238393,"May 1, 2025, 5:35:32 PM",1619
"14bps","34bps",14,"May 1, 2025, 6:23:28 PM",34
"1.76Mbps","405bps",1764347,"May 1, 2025, 7:11:24 PM",405
"7.96Mbps","0.99kbps",7964261,"May 1, 2025, 7:59:20 PM",991
"14.16Mbps","1.81kbps",14162728,"May 1, 2025, 8:47:16 PM",1806
"15.17Mbps","2.27kbps",15165438,"May 1, 2025, 9:35:12 PM",2272
"12.23Mbps","5.02kbps",12225093,"May 1, 2025, 10:23:08 PM",5024
"14.47Mbps","1.22kbps",14474199,"May 1, 2025, 11:11:04 PM",1219
"13.91Mbps","4.42kbps",13913299,"May 1, 2025, 11:59:00 PM",4417
