"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"96.5kbps","3.98Mbps",96498,"May 1, 2025, 12:01:00 AM",3977490
"14.67kbps","611.76kbps",14668,"May 1, 2025, 12:48:56 AM",611762
"16bps","38bps",16,"May 1, 2025, 1:36:52 AM",38
"14bps","41bps",14,"May 1, 2025, 2:24:48 AM",41
"18bps","47bps",18,"May 1, 2025, 3:12:44 AM",47
"15bps","38bps",15,"May 1, 2025, 4:00:40 AM",38
"21bps","48bps",21,"May 1, 2025, 4:48:36 AM",48
"16bps","39bps",16,"May 1, 2025, 5:36:32 AM",39
"13bps","39bps",13,"May 1, 2025, 6:24:28 AM",39
"16bps","44bps",16,"May 1, 2025, 7:12:24 AM",44
"18bps","42bps",18,"May 1, 2025, 8:00:20 AM",42
"18bps","40bps",18,"May 1, 2025, 8:48:16 AM",40
"14bps","44bps",14,"May 1, 2025, 9:36:12 AM",44
"18bps","40bps",18,"May 1, 2025, 10:24:08 AM",40
"13.47kbps","472.86kbps",13466,"May 1, 2025, 11:12:04 AM",472864
"36.77kbps","1.3Mbps",36770,"May 1, 2025, 12:00:00 PM",1304180
"11bps","39bps",11,"May 1, 2025, 12:47:56 PM",39
"13bps","44bps",13,"May 1, 2025, 1:35:52 PM",44
"15bps","169bps",15,"May 1, 2025, 2:23:48 PM",169
"134bps","280.5kbps",134,"May 1, 2025, 3:11:44 PM",280502
"442bps","0.99Mbps",442,"May 1, 2025, 3:59:40 PM",988160
"523bps","294.6kbps",523,"May 1, 2025, 4:47:36 PM",294599
"545bps","3.11Mbps",545,"May 1, 2025, 5:35:32 PM",3105395
"21bps","70bps",21,"May 1, 2025, 6:23:28 PM",70
"143bps","703.86kbps",143,"May 1, 2025, 7:11:24 PM",703856
"670bps","5.57Mbps",670,"May 1, 2025, 7:59:20 PM",5570641
"549bps","4.14Mbps",549,"May 1, 2025, 8:47:16 PM",4135388
"770bps","5.98Mbps",770,"May 1, 2025, 9:35:12 PM",5980068
"1.72kbps","3.86Mbps",1719,"May 1, 2025, 10:23:08 PM",3864394
"168bps","749.63kbps",168,"May 1, 2025, 11:11:04 PM",749627
"1.53kbps","4.62Mbps",1527,"May 1, 2025, 11:59:00 PM",4615125
