"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"26bps","142bps",26,"Apr 28, 2025, 12:01:00 AM",142
"28bps","126bps",28,"Apr 28, 2025, 12:48:56 AM",126
"21bps","138bps",21,"Apr 28, 2025, 1:36:52 AM",138
"19bps","135bps",19,"Apr 28, 2025, 2:24:48 AM",135
"21bps","136bps",21,"Apr 28, 2025, 3:12:44 AM",136
"18bps","140bps",18,"Apr 28, 2025, 4:00:40 AM",140
"20bps","121bps",20,"Apr 28, 2025, 4:48:36 AM",121
"20bps","137bps",20,"Apr 28, 2025, 5:36:32 AM",137
"24bps","137bps",24,"Apr 28, 2025, 6:24:28 AM",137
"22bps","140bps",22,"Apr 28, 2025, 7:12:24 AM",140
"25bps","136bps",25,"Apr 28, 2025, 8:00:20 AM",136
"17bps","123bps",17,"Apr 28, 2025, 8:48:16 AM",123
"20bps","138bps",20,"Apr 28, 2025, 9:36:12 AM",138
"128.88kbps","1.82Mbps",128885,"Apr 28, 2025, 10:24:08 AM",1815443
"12.28kbps","508.02kbps",12277,"Apr 28, 2025, 11:12:04 AM",508022
"66.84kbps","2.85Mbps",66844,"Apr 28, 2025, 12:00:00 PM",2848116
"32.34kbps","1.35Mbps",32336,"Apr 28, 2025, 12:47:56 PM",1352428
"62.48kbps","2.59Mbps",62476,"Apr 28, 2025, 1:35:52 PM",2593588
"58.69kbps","2.32Mbps",58692,"Apr 28, 2025, 2:23:48 PM",2317205
"78.27kbps","3.27Mbps",78270,"Apr 28, 2025, 3:11:44 PM",3274664
"108.34kbps","4.56Mbps",108336,"Apr 28, 2025, 3:59:40 PM",4558260
"88.11kbps","3.38Mbps",88115,"Apr 28, 2025, 4:47:36 PM",3384098
"101.82kbps","3.74Mbps",101824,"Apr 28, 2025, 5:35:32 PM",3737457
"14.29kbps","567.57kbps",14285,"Apr 28, 2025, 6:23:28 PM",567566
"22bps","142bps",22,"Apr 28, 2025, 7:11:24 PM",142
"22bps","138bps",22,"Apr 28, 2025, 7:59:20 PM",138
"7.69kbps","303.31kbps",7690,"Apr 28, 2025, 8:47:16 PM",303307
"69.14kbps","2.63Mbps",69136,"Apr 28, 2025, 9:35:12 PM",2631872
"63.4kbps","1.98Mbps",63402,"Apr 28, 2025, 10:23:08 PM",1983270
"55.06kbps","1.71Mbps",55060,"Apr 28, 2025, 11:11:04 PM",1712990
"18bps","138bps",18,"Apr 28, 2025, 11:59:00 PM",138
