"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"","",,"Apr 25, 2025, 12:01:00 AM",
"","",,"Apr 25, 2025, 12:48:56 AM",
"","",,"Apr 25, 2025, 1:36:52 AM",
"","",,"Apr 25, 2025, 2:24:48 AM",
"","",,"Apr 25, 2025, 3:12:44 AM",
"","",,"Apr 25, 2025, 4:00:40 AM",
"","",,"Apr 25, 2025, 4:48:36 AM",
"","",,"Apr 25, 2025, 5:36:32 AM",
"","",,"Apr 25, 2025, 6:24:28 AM",
"","",,"Apr 25, 2025, 7:12:24 AM",
"","",,"Apr 25, 2025, 8:00:20 AM",
"","",,"Apr 25, 2025, 8:48:16 AM",
"","",,"Apr 25, 2025, 9:36:12 AM",
"","",,"Apr 25, 2025, 10:24:08 AM",
"","",,"Apr 25, 2025, 11:12:04 AM",
"","",,"Apr 25, 2025, 12:00:00 PM",
"","",,"Apr 25, 2025, 12:47:56 PM",
"","",,"Apr 25, 2025, 1:35:52 PM",
"","",,"Apr 25, 2025, 2:23:48 PM",
"","",,"Apr 25, 2025, 3:11:44 PM",
"","",,"Apr 25, 2025, 3:59:40 PM",
"29bps","290bps",29,"Apr 25, 2025, 4:47:36 PM",290
"36bps","171bps",36,"Apr 25, 2025, 5:35:32 PM",171
"24bps","35bps",24,"Apr 25, 2025, 6:23:28 PM",35
"","",,"Apr 25, 2025, 7:11:24 PM",
"","",,"Apr 25, 2025, 7:59:20 PM",
"2bps","56bps",2,"Apr 25, 2025, 8:47:16 PM",56
"0bps","0bps",0,"Apr 25, 2025, 9:35:12 PM",0
"","",,"Apr 25, 2025, 10:23:08 PM",
"","",,"Apr 25, 2025, 11:11:04 PM",
"","",,"Apr 25, 2025, 11:59:00 PM",
