"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"0bps","0bps",0,"Apr 26, 2025, 12:00:00 AM",0
"0bps","0bps",0,"Apr 26, 2025, 12:47:58 AM",0
"0bps","0bps",0,"Apr 26, 2025, 1:35:56 AM",0
"","",,"Apr 26, 2025, 2:23:54 AM",
"","",,"Apr 26, 2025, 3:11:52 AM",
"","",,"Apr 26, 2025, 3:59:50 AM",
"","",,"Apr 26, 2025, 4:47:48 AM",
"","",,"Apr 26, 2025, 5:35:46 AM",
"","",,"Apr 26, 2025, 6:23:44 AM",
"","",,"Apr 26, 2025, 7:11:42 AM",
"","",,"Apr 26, 2025, 7:59:40 AM",
"","",,"Apr 26, 2025, 8:47:38 AM",
"","",,"Apr 26, 2025, 9:35:36 AM",
"","",,"Apr 26, 2025, 10:23:34 AM",
"","",,"Apr 26, 2025, 11:11:32 AM",
"16bps","21bps",16,"Apr 26, 2025, 11:59:30 AM",21
"15bps","13bps",15,"Apr 26, 2025, 12:47:28 PM",13
"0bps","0bps",0,"Apr 26, 2025, 1:35:26 PM",0
"1bps","6bps",1,"Apr 26, 2025, 2:23:24 PM",6
"1bps","6bps",1,"Apr 26, 2025, 3:11:22 PM",6
"2bps","6bps",2,"Apr 26, 2025, 3:59:20 PM",6
"4bps","9bps",4,"Apr 26, 2025, 4:47:18 PM",9
"0bps","0bps",0,"Apr 26, 2025, 5:35:16 PM",0
"3bps","7bps",3,"Apr 26, 2025, 6:23:14 PM",7
"1bps","3bps",1,"Apr 26, 2025, 7:11:12 PM",3
"2bps","6bps",2,"Apr 26, 2025, 7:59:10 PM",6
"1bps","2bps",1,"Apr 26, 2025, 8:47:08 PM",2
"0bps","0bps",0,"Apr 26, 2025, 9:35:06 PM",0
"0bps","0bps",0,"Apr 26, 2025, 10:23:04 PM",0
"0bps","0bps",0,"Apr 26, 2025, 11:11:02 PM",0
"","",,"Apr 26, 2025, 11:59:00 PM",
