"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"19bps","146bps",19,"Apr 28, 2025, 12:01:00 AM",146
"18bps","131bps",18,"Apr 28, 2025, 12:48:56 AM",131
"24bps","137bps",24,"Apr 28, 2025, 1:36:52 AM",137
"16bps","137bps",16,"Apr 28, 2025, 2:24:48 AM",137
"14bps","138bps",14,"Apr 28, 2025, 3:12:44 AM",138
"16bps","147bps",16,"Apr 28, 2025, 4:00:40 AM",147
"17bps","124bps",17,"Apr 28, 2025, 4:48:36 AM",124
"17bps","138bps",17,"Apr 28, 2025, 5:36:32 AM",138
"19bps","132bps",19,"Apr 28, 2025, 6:24:28 AM",132
"21bps","141bps",21,"Apr 28, 2025, 7:12:24 AM",141
"18bps","138bps",18,"Apr 28, 2025, 8:00:20 AM",138
"19bps","131bps",19,"Apr 28, 2025, 8:48:16 AM",131
"26bps","205bps",26,"Apr 28, 2025, 9:36:12 AM",205
"6.7Mbps","549.46kbps",6695707,"Apr 28, 2025, 10:24:08 AM",549457
"2.33Mbps","55.99kbps",2325047,"Apr 28, 2025, 11:12:04 AM",55986
"11.17Mbps","267.75kbps",11172082,"Apr 28, 2025, 12:00:00 PM",267755
"5.5Mbps","132.89kbps",5498397,"Apr 28, 2025, 12:47:56 PM",132888
"11.32Mbps","267.91kbps",11323657,"Apr 28, 2025, 1:35:52 PM",267908
"10.1Mbps","245.23kbps",10102812,"Apr 28, 2025, 2:23:48 PM",245229
"11.42Mbps","434.76kbps",11417174,"Apr 28, 2025, 3:11:44 PM",434758
"15.57Mbps","915.18kbps",15566650,"Apr 28, 2025, 3:59:40 PM",915184
"14.61Mbps","398.36kbps",14608937,"Apr 28, 2025, 4:47:36 PM",398361
"10.32Mbps","270.94kbps",10317731,"Apr 28, 2025, 5:35:32 PM",270942
"3.93Mbps","113.54kbps",3925503,"Apr 28, 2025, 6:23:28 PM",113536
"3.48Mbps","102.05kbps",3476784,"Apr 28, 2025, 7:11:24 PM",102050
"4.32Mbps","123.56kbps",4322496,"Apr 28, 2025, 7:59:20 PM",123557
"1.21Mbps","33.66kbps",1210653,"Apr 28, 2025, 8:47:16 PM",33665
"10.42Mbps","284.96kbps",10417355,"Apr 28, 2025, 9:35:12 PM",284959
"9.79Mbps","258.37kbps",9792861,"Apr 28, 2025, 10:23:08 PM",258374
"1.71Mbps","55.18kbps",1712854,"Apr 28, 2025, 11:11:04 PM",55180
"24bps","139bps",24,"Apr 28, 2025, 11:59:00 PM",139
