"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"15bps","136bps",15,"Apr 28, 2025, 12:01:00 AM",136
"21bps","128bps",21,"Apr 28, 2025, 12:48:56 AM",128
"21bps","138bps",21,"Apr 28, 2025, 1:36:52 AM",138
"19bps","135bps",19,"Apr 28, 2025, 2:24:48 AM",135
"21bps","136bps",21,"Apr 28, 2025, 3:12:44 AM",136
"19bps","139bps",19,"Apr 28, 2025, 4:00:40 AM",139
"24bps","123bps",24,"Apr 28, 2025, 4:48:36 AM",123
"24bps","138bps",24,"Apr 28, 2025, 5:36:32 AM",138
"21bps","137bps",21,"Apr 28, 2025, 6:24:28 AM",137
"20bps","140bps",20,"Apr 28, 2025, 7:12:24 AM",140
"24bps","132bps",24,"Apr 28, 2025, 8:00:20 AM",132
"17bps","127bps",17,"Apr 28, 2025, 8:48:16 AM",127
"19bps","137bps",19,"Apr 28, 2025, 9:36:12 AM",137
"278.17kbps","2.9Mbps",278169,"Apr 28, 2025, 10:24:08 AM",2895167
"21.11kbps","879.97kbps",21109,"Apr 28, 2025, 11:12:04 AM",879969
"94.98kbps","3.95Mbps",94984,"Apr 28, 2025, 12:00:00 PM",3949632
"49.45kbps","2.06Mbps",49453,"Apr 28, 2025, 12:47:56 PM",2055663
"88.49kbps","3.72Mbps",88486,"Apr 28, 2025, 1:35:52 PM",3716062
"88.78kbps","3.7Mbps",88777,"Apr 28, 2025, 2:23:48 PM",3702514
"240.51kbps","3.22Mbps",240512,"Apr 28, 2025, 3:11:44 PM",3220032
"628.01kbps","3.42Mbps",628012,"Apr 28, 2025, 3:59:40 PM",3417418
"95.9kbps","1.7Mbps",95897,"Apr 28, 2025, 4:47:36 PM",1697188
"69.35kbps","2.2Mbps",69351,"Apr 28, 2025, 5:35:32 PM",2197508
"99.16kbps","3.36Mbps",99157,"Apr 28, 2025, 6:23:28 PM",3358205
"101.93kbps","3.48Mbps",101930,"Apr 28, 2025, 7:11:24 PM",3476911
"123.44kbps","4.32Mbps",123437,"Apr 28, 2025, 7:59:20 PM",4322603
"13.56kbps","459.56kbps",13564,"Apr 28, 2025, 8:47:16 PM",459563
"87.06kbps","2.85Mbps",87062,"Apr 28, 2025, 9:35:12 PM",2847530
"41.88kbps","1.36Mbps",41880,"Apr 28, 2025, 10:23:08 PM",1364675
"9bps","49bps",9,"Apr 28, 2025, 11:11:04 PM",49
"10bps","45bps",10,"Apr 28, 2025, 11:59:00 PM",45
