"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"20bps","101bps",20,"Apr 27, 2025, 12:01:00 AM",101
"23bps","109bps",23,"Apr 27, 2025, 12:48:56 AM",109
"19bps","105bps",19,"Apr 27, 2025, 1:36:52 AM",105
"25bps","100bps",25,"Apr 27, 2025, 2:24:48 AM",100
"21bps","107bps",21,"Apr 27, 2025, 3:12:44 AM",107
"25bps","96bps",25,"Apr 27, 2025, 4:00:40 AM",96
"23bps","109bps",23,"Apr 27, 2025, 4:48:36 AM",109
"27bps","109bps",27,"Apr 27, 2025, 5:36:32 AM",109
"21bps","98bps",21,"Apr 27, 2025, 6:24:28 AM",98
"21bps","106bps",21,"Apr 27, 2025, 7:12:24 AM",106
"16bps","95bps",16,"Apr 27, 2025, 8:00:20 AM",95
"19bps","109bps",19,"Apr 27, 2025, 8:48:16 AM",109
"27bps","106bps",27,"Apr 27, 2025, 9:36:12 AM",106
"13bps","92bps",13,"Apr 27, 2025, 10:24:08 AM",92
"74.47kbps","1.9kbps",74474,"Apr 27, 2025, 11:12:04 AM",1895
"2.49Mbps","58.58kbps",2492097,"Apr 27, 2025, 12:00:00 PM",58579
"1.3Mbps","30.51kbps",1299119,"Apr 27, 2025, 12:47:56 PM",30508
"1.85Mbps","46.28kbps",1854268,"Apr 27, 2025, 1:35:52 PM",46283
"1.51Mbps","39.14kbps",1510395,"Apr 27, 2025, 2:23:48 PM",39139
"1.54Mbps","45.5kbps",1544388,"Apr 27, 2025, 3:11:44 PM",45500
"7.58Mbps","176.01kbps",7577122,"Apr 27, 2025, 3:59:40 PM",176015
"17.6Mbps","419.38kbps",17598145,"Apr 27, 2025, 4:47:36 PM",419384
"6.43Mbps","157.65kbps",6427743,"Apr 27, 2025, 5:35:32 PM",157650
"18bps","37bps",18,"Apr 27, 2025, 6:23:28 PM",37
"11bps","41bps",11,"Apr 27, 2025, 7:11:24 PM",41
"15bps","35bps",15,"Apr 27, 2025, 7:59:20 PM",35
"8.12Mbps","188.84kbps",8115127,"Apr 27, 2025, 8:47:16 PM",188835
"17.09Mbps","390.28kbps",17090660,"Apr 27, 2025, 9:35:12 PM",390282
"8.48Mbps","200.36kbps",8481093,"Apr 27, 2025, 10:23:08 PM",200362
"29bps","143bps",29,"Apr 27, 2025, 11:11:04 PM",143
"19bps","143bps",19,"Apr 27, 2025, 11:59:00 PM",143
