"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"","",,"Apr 27, 2025, 12:01:00 AM",
"","",,"Apr 27, 2025, 12:48:56 AM",
"","",,"Apr 27, 2025, 1:36:52 AM",
"","",,"Apr 27, 2025, 2:24:48 AM",
"","",,"Apr 27, 2025, 3:12:44 AM",
"","",,"Apr 27, 2025, 4:00:40 AM",
"","",,"Apr 27, 2025, 4:48:36 AM",
"","",,"Apr 27, 2025, 5:36:32 AM",
"","",,"Apr 27, 2025, 6:24:28 AM",
"","",,"Apr 27, 2025, 7:12:24 AM",
"","",,"Apr 27, 2025, 8:00:20 AM",
"","",,"Apr 27, 2025, 8:48:16 AM",
"","",,"Apr 27, 2025, 9:36:12 AM",
"","",,"Apr 27, 2025, 10:24:08 AM",
"3.9kbps","160.52kbps",3904,"Apr 27, 2025, 11:12:04 AM",160516
"37.75kbps","1.61Mbps",37753,"Apr 27, 2025, 12:00:00 PM",1605303
"13.89kbps","611.68kbps",13894,"Apr 27, 2025, 12:47:56 PM",611685
"24.09kbps","1Mbps",24095,"Apr 27, 2025, 1:35:52 PM",1000401
"12.19kbps","466.53kbps",12188,"Apr 27, 2025, 2:23:48 PM",466527
"14.93kbps","515.11kbps",14934,"Apr 27, 2025, 3:11:44 PM",515112
"53.05kbps","2.22Mbps",53046,"Apr 27, 2025, 3:59:40 PM",2224304
"113.7kbps","4.52Mbps",113696,"Apr 27, 2025, 4:47:36 PM",4519090
"43.74kbps","1.7Mbps",43745,"Apr 27, 2025, 5:35:32 PM",1698133
"19bps","110bps",19,"Apr 27, 2025, 6:23:28 PM",110
"34bps","173bps",34,"Apr 27, 2025, 7:11:24 PM",173
"26bps","46bps",26,"Apr 27, 2025, 7:59:20 PM",46
"86.48kbps","3.81Mbps",86485,"Apr 27, 2025, 8:47:16 PM",3812136
"130.94kbps","5.55Mbps",130944,"Apr 27, 2025, 9:35:12 PM",5551426
"63.84kbps","2.67Mbps",63844,"Apr 27, 2025, 10:23:08 PM",2667743
"24bps","138bps",24,"Apr 27, 2025, 11:11:04 PM",138
"16bps","142bps",16,"Apr 27, 2025, 11:59:00 PM",142
