"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"","",,"Apr 27, 2025, 12:01:00 AM",
"","",,"Apr 27, 2025, 12:48:56 AM",
"","",,"Apr 27, 2025, 1:36:52 AM",
"","",,"Apr 27, 2025, 2:24:48 AM",
"","",,"Apr 27, 2025, 3:12:44 AM",
"","",,"Apr 27, 2025, 4:00:40 AM",
"","",,"Apr 27, 2025, 4:48:36 AM",
"","",,"Apr 27, 2025, 5:36:32 AM",
"","",,"Apr 27, 2025, 6:24:28 AM",
"","",,"Apr 27, 2025, 7:12:24 AM",
"","",,"Apr 27, 2025, 8:00:20 AM",
"","",,"Apr 27, 2025, 8:48:16 AM",
"","",,"Apr 27, 2025, 9:36:12 AM",
"","",,"Apr 27, 2025, 10:24:08 AM",
"1.58kbps","57.8kbps",1581,"Apr 27, 2025, 11:12:04 AM",57805
"1.53kbps","69.04kbps",1532,"Apr 27, 2025, 12:00:00 PM",69044
"10.1kbps","441.9kbps",10103,"Apr 27, 2025, 12:47:56 PM",441900
"22.24kbps","830.31kbps",22244,"Apr 27, 2025, 1:35:52 PM",830309
"9.91kbps","375kbps",9914,"Apr 27, 2025, 2:23:48 PM",375000
"15.16kbps","514.98kbps",15164,"Apr 27, 2025, 3:11:44 PM",514984
"61.82kbps","2.73Mbps",61823,"Apr 27, 2025, 3:59:40 PM",2727142
"151.77kbps","6.51Mbps",151768,"Apr 27, 2025, 4:47:36 PM",6508330
"65.08kbps","2.81Mbps",65077,"Apr 27, 2025, 5:35:32 PM",2805231
"40bps","393bps",40,"Apr 27, 2025, 6:23:28 PM",393
"20bps","135bps",20,"Apr 27, 2025, 7:11:24 PM",135
"16bps","46bps",16,"Apr 27, 2025, 7:59:20 PM",46
"52.5kbps","2.27Mbps",52496,"Apr 27, 2025, 8:47:16 PM",2269354
"175.86kbps","7.6Mbps",175863,"Apr 27, 2025, 9:35:12 PM",7597182
"84.32kbps","3.67Mbps",84320,"Apr 27, 2025, 10:23:08 PM",3666903
"18bps","138bps",18,"Apr 27, 2025, 11:11:04 PM",138
"12bps","138bps",12,"Apr 27, 2025, 11:59:00 PM",138
