"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"19bps","44bps",19,"Apr 30, 2025, 12:01:00 AM",44
"9bps","37bps",9,"Apr 30, 2025, 12:48:56 AM",37
"9bps","44bps",9,"Apr 30, 2025, 1:36:52 AM",44
"11bps","38bps",11,"Apr 30, 2025, 2:24:48 AM",38
"11bps","38bps",11,"Apr 30, 2025, 3:12:44 AM",38
"17bps","47bps",17,"Apr 30, 2025, 4:00:40 AM",47
"12bps","38bps",12,"Apr 30, 2025, 4:48:36 AM",38
"9bps","42bps",9,"Apr 30, 2025, 5:36:32 AM",42
"12bps","38bps",12,"Apr 30, 2025, 6:24:28 AM",38
"11bps","39bps",11,"Apr 30, 2025, 7:12:24 AM",39
"10bps","44bps",10,"Apr 30, 2025, 8:00:20 AM",44
"10bps","38bps",10,"Apr 30, 2025, 8:48:16 AM",38
"11bps","39bps",11,"Apr 30, 2025, 9:36:12 AM",39
"8bps","44bps",8,"Apr 30, 2025, 10:24:08 AM",44
"248.35kbps","656.77kbps",248354,"Apr 30, 2025, 11:12:04 AM",656770
"63kbps","2.04Mbps",62997,"Apr 30, 2025, 12:00:00 PM",2040975
"90kbps","2.99Mbps",89999,"Apr 30, 2025, 12:47:56 PM",2985991
"90.67kbps","3.06Mbps",90675,"Apr 30, 2025, 1:35:52 PM",3061535
"90.67kbps","3.1Mbps",90674,"Apr 30, 2025, 2:23:48 PM",3097171
"58.28kbps","1.99Mbps",58276,"Apr 30, 2025, 3:11:44 PM",1992556
"19.76kbps","628.35kbps",19764,"Apr 30, 2025, 3:59:40 PM",628353
"8.2kbps","259kbps",8197,"Apr 30, 2025, 4:47:36 PM",258999
"10bps","38bps",10,"Apr 30, 2025, 5:35:32 PM",38
"4.52kbps","141.64kbps",4523,"Apr 30, 2025, 6:23:28 PM",141640
"30.05kbps","929.26kbps",30054,"Apr 30, 2025, 7:11:24 PM",929263
"16.15kbps","542.8kbps",16151,"Apr 30, 2025, 7:59:20 PM",542799
"4.06kbps","178.67kbps",4061,"Apr 30, 2025, 8:47:16 PM",178669
"52.1kbps","2.23Mbps",52096,"Apr 30, 2025, 9:35:12 PM",2231584
"180.15kbps","7.56Mbps",180145,"Apr 30, 2025, 10:23:08 PM",7556141
"30.27kbps","1.16Mbps",30270,"Apr 30, 2025, 11:11:04 PM",1155109
"70.26kbps","2.23Mbps",70263,"Apr 30, 2025, 11:59:00 PM",2230105
