"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"14bps","41bps",14,"Apr 30, 2025, 12:01:00 AM",41
"15bps","43bps",15,"Apr 30, 2025, 12:48:56 AM",43
"17bps","46bps",17,"Apr 30, 2025, 1:36:52 AM",46
"18bps","38bps",18,"Apr 30, 2025, 2:24:48 AM",38
"10bps","38bps",10,"Apr 30, 2025, 3:12:44 AM",38
"14bps","44bps",14,"Apr 30, 2025, 4:00:40 AM",44
"14bps","41bps",14,"Apr 30, 2025, 4:48:36 AM",41
"12bps","45bps",12,"Apr 30, 2025, 5:36:32 AM",45
"15bps","40bps",15,"Apr 30, 2025, 6:24:28 AM",40
"22bps","38bps",22,"Apr 30, 2025, 7:12:24 AM",38
"20bps","49bps",20,"Apr 30, 2025, 8:00:20 AM",49
"21bps","38bps",21,"Apr 30, 2025, 8:48:16 AM",38
"13bps","38bps",13,"Apr 30, 2025, 9:36:12 AM",38
"3.99kbps","170.89kbps",3989,"Apr 30, 2025, 10:24:08 AM",170888
"136.38kbps","386.25kbps",136379,"Apr 30, 2025, 11:12:04 AM",386255
"49.25kbps","1.61Mbps",49246,"Apr 30, 2025, 12:00:00 PM",1612161
"71.63kbps","2.38Mbps",71630,"Apr 30, 2025, 12:47:56 PM",2382496
"71.27kbps","2.41Mbps",71265,"Apr 30, 2025, 1:35:52 PM",2405055
"72.57kbps","2.42Mbps",72567,"Apr 30, 2025, 2:23:48 PM",2423500
"48.04kbps","1.61Mbps",48039,"Apr 30, 2025, 3:11:44 PM",1610733
"15.92kbps","513.68kbps",15917,"Apr 30, 2025, 3:59:40 PM",513676
"7.27kbps","232.91kbps",7269,"Apr 30, 2025, 4:47:36 PM",232906
"10bps","38bps",10,"Apr 30, 2025, 5:35:32 PM",38
"4.15kbps","133.8kbps",4152,"Apr 30, 2025, 6:23:28 PM",133798
"27.68kbps","879.05kbps",27676,"Apr 30, 2025, 7:11:24 PM",879050
"42.07kbps","1.76Mbps",42066,"Apr 30, 2025, 7:59:20 PM",1760729
"132.18kbps","5.88Mbps",132175,"Apr 30, 2025, 8:47:16 PM",5882406
"144.57kbps","6.12Mbps",144572,"Apr 30, 2025, 9:35:12 PM",6115073
"134.15kbps","5.14Mbps",134150,"Apr 30, 2025, 10:23:08 PM",5135619
"74.23kbps","2.94Mbps",74229,"Apr 30, 2025, 11:11:04 PM",2943627
"94.37kbps","3.88Mbps",94369,"Apr 30, 2025, 11:59:00 PM",3875711
