"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"71.93kbps","2.29Mbps",71926,"May 1, 2025, 12:01:00 AM",2289126
"85.09kbps","2.88Mbps",85093,"May 1, 2025, 12:48:56 AM",2880035
"16.99kbps","576.68kbps",16986,"May 1, 2025, 1:36:52 AM",576681
"14bps","38bps",14,"May 1, 2025, 2:24:48 AM",38
"17bps","46bps",17,"May 1, 2025, 3:12:44 AM",46
"20bps","42bps",20,"May 1, 2025, 4:00:40 AM",42
"13bps","44bps",13,"May 1, 2025, 4:48:36 AM",44
"13bps","38bps",13,"May 1, 2025, 5:36:32 AM",38
"9bps","39bps",9,"May 1, 2025, 6:24:28 AM",39
"15bps","44bps",15,"May 1, 2025, 7:12:24 AM",44
"11bps","38bps",11,"May 1, 2025, 8:00:20 AM",38
"17bps","38bps",17,"May 1, 2025, 8:48:16 AM",38
"12bps","44bps",12,"May 1, 2025, 9:36:12 AM",44
"6bps","38bps",6,"May 1, 2025, 10:24:08 AM",38
"7.23kbps","221.07kbps",7233,"May 1, 2025, 11:12:04 AM",221066
"29.87kbps","913.5kbps",29866,"May 1, 2025, 12:00:00 PM",913497
"19bps","49bps",19,"May 1, 2025, 12:47:56 PM",49
"37bps","94bps",37,"May 1, 2025, 1:35:52 PM",94
"472bps","217.18kbps",472,"May 1, 2025, 2:23:48 PM",217182
"309bps","676.27kbps",309,"May 1, 2025, 3:11:44 PM",676267
"448bps","0.99Mbps",448,"May 1, 2025, 3:59:40 PM",990218
"514bps","294.6kbps",514,"May 1, 2025, 4:47:36 PM",294599
"541bps","1.99Mbps",541,"May 1, 2025, 5:35:32 PM",1990621
"16bps","53bps",16,"May 1, 2025, 6:23:28 PM",53
"135bps","439.01kbps",135,"May 1, 2025, 7:11:24 PM",439015
"168bps","879.17kbps",168,"May 1, 2025, 7:59:20 PM",879174
"506bps","1.71Mbps",506,"May 1, 2025, 8:47:16 PM",1711109
"783bps","3.28Mbps",783,"May 1, 2025, 9:35:12 PM",3282315
"1.55kbps","3.32Mbps",1547,"May 1, 2025, 10:23:08 PM",3319237
"0.99kbps","13.39Mbps",992,"May 1, 2025, 11:11:04 PM",13386731
"1.89kbps","2.74Mbps",1892,"May 1, 2025, 11:59:00 PM",2736681
